progeny	sire	dam	progeny_fam_ID	sire_fam_ID	dam_fam_ID
1	1014	0	NA	NA	NA
2	560	32	504	1819	626
3	572	475	514	1835	1654
4	0	0	515	NA	NA
5	612	33	516	1899	628
6	621	532	517	1908	1764
7	1014	1030	NA	NA	NA
8	863	862	530	NA	NA
9	437	370	536	1568	1468
10	810	1036	538	NA	NA
11	846	489	550	NA	1675
12	555	73	551	1813	711
13	1063	875	554	NA	NA
14	1022	31	556	NA	625
15	24	121	558	580	803
16	832	273	563	NA	1193
17	814	815	564	NA	NA
18	551	53	566	1809	674
19	552	73	567	1810	711
20	0	0	570	NA	NA
21	775	121	573	NA	803
22	0	0	576	NA	NA
23	817	98	577	NA	761
24	0	0	580	NA	NA
25	816	20	581	NA	570
26	173	86	586	905	733
27	0	0	591	NA	NA
28	0	0	594	NA	NA
29	0	0	606	NA	NA
30	1025	432	614	NA	1560
31	0	0	625	NA	NA
32	0	0	626	NA	NA
33	486	488	628	1672	1674
34	486	488	629	1672	1674
35	553	77	630	1811	718
36	553	77	631	1811	718
37	575	507	632	1838	1700
38	0	0	633	NA	NA
39	0	0	636	NA	NA
40	0	745	637	NA	NA
41	74	61	638	713	691
42	558	509	640	1817	1702
43	373	511	641	1474	1707
44	384	428	643	1490	1556
45	1015	1027	644	NA	NA
46	425	415	645	1553	1542
47	437	370	650	1568	1468
48	424	512	651	1551	1708
49	424	512	652	1551	1708
50	0	841	663	NA	NA
51	796	876	664	NA	NA
52	741	115	671	NA	785
53	58	514	674	686	1711
54	0	0	675	NA	NA
55	678	174	681	NA	906
56	0	0	683	NA	NA
57	813	114	684	NA	784
58	0	0	686	NA	NA
59	1016	1031	689	NA	NA
60	369	367	690	1467	1464
61	1017	1032	691	NA	NA
62	0	0	692	NA	NA
63	431	446	693	1559	1592
64	405	368	694	1531	1466
65	558	482	695	1817	1666
66	793	865	696	NA	NA
67	793	865	697	NA	NA
68	0	0	701	NA	NA
69	813	114	704	NA	784
70	623	119	706	1910	790
71	0	0	708	NA	NA
72	0	0	709	NA	NA
73	0	0	711	NA	NA
74	0	0	713	NA	NA
75	0	0	714	NA	NA
76	0	0	716	NA	NA
77	0	0	718	NA	NA
78	0	0	719	NA	NA
79	376	365	721	1477	1456
80	774	839	725	NA	NA
81	144	62	726	852	692
82	200	426	727	966	1554
83	0	0	728	NA	NA
84	0	0	729	NA	NA
85	1049	114	732	NA	784
86	0	0	733	NA	NA
87	727	708	734	NA	NA
88	741	115	738	NA	785
89	740	770	740	NA	NA
90	705	933	746	NA	NA
91	0	0	747	NA	NA
92	623	119	749	1910	790
93	0	0	751	NA	NA
94	0	0	757	NA	NA
95	557	114	758	1816	784
96	0	0	759	NA	NA
97	393	392	760	1502	1501
98	1039	356	761	NA	1444
99	0	0	763	NA	NA
100	360	371	764	1449	1470
101	151	91	765	866	747
102	376	365	766	1477	1456
103	1019	132	767	NA	828
104	379	389	768	1485	1498
105	139	122	769	846	804
106	0	0	NA	NA	NA
107	995	1003	772	NA	NA
108	667	683	774	NA	NA
109	1049	114	778	NA	784
110	1049	114	779	NA	784
111	679	84	780	NA	729
112	161	166	782	886	896
113	0	0	783	NA	NA
114	0	0	784	NA	NA
115	187	191	785	930	939
116	151	91	786	866	747
117	138	167	787	845	897
118	187	708	789	930	NA
119	0	0	790	NA	NA
120	0	0	791	NA	NA
121	0	0	803	NA	NA
122	0	0	804	NA	NA
123	1044	783	806	NA	NA
124	0	0	814	NA	NA
125	211	733	815	999	NA
126	0	0	816	NA	NA
127	140	134	817	848	833
128	724	685	822	NA	NA
129	0	0	824	NA	NA
130	0	0	825	NA	NA
131	742	153	826	NA	872
132	0	0	828	NA	NA
133	0	0	829	NA	NA
134	0	0	833	NA	NA
135	729	136	834	NA	839
136	0	0	839	NA	NA
137	0	0	840	NA	NA
138	725	666	845	NA	1997
139	0	0	846	NA	NA
140	187	708	848	930	NA
141	0	0	849	NA	NA
142	681	343	850	NA	1376
143	999	179	851	NA	920
144	0	0	852	NA	NA
145	0	0	857	NA	NA
146	706	349	859	NA	1385
147	1042	987	860	NA	NA
148	0	0	862	NA	NA
149	0	0	863	NA	NA
150	0	0	864	NA	NA
151	159	216	866	879	1009
152	0	0	871	NA	NA
153	0	0	872	NA	NA
154	988	1005	874	NA	NA
155	0	0	875	NA	NA
156	0	0	876	NA	NA
157	0	0	877	NA	NA
158	0	0	878	NA	NA
159	679	84	879	NA	729
160	991	993	880	NA	NA
161	0	0	886	NA	NA
162	0	0	888	NA	NA
163	0	0	892	NA	NA
164	0	0	893	NA	NA
165	0	0	894	NA	NA
166	0	0	896	NA	NA
167	0	0	897	NA	NA
168	988	179	899	NA	920
169	988	179	900	NA	920
170	150	152	902	864	871
171	150	152	903	864	871
172	177	350	904	915	1386
173	1017	133	905	NA	829
174	154	133	906	874	829
175	178	157	907	916	877
176	145	131	908	857	826
177	0	0	915	NA	NA
178	919	961	916	NA	NA
179	989	946	920	NA	NA
180	155	130	921	875	825
181	155	130	922	875	825
182	0	0	924	NA	NA
183	1053	673	926	NA	NA
184	0	0	927	NA	NA
185	0	0	928	NA	NA
186	183	672	929	926	NA
187	0	0	930	NA	NA
188	1008	1006	933	NA	NA
189	0	0	935	NA	NA
190	1020	0	NA	NA	NA
191	0	0	939	NA	NA
192	0	0	941	NA	NA
193	0	0	943	NA	NA
194	1009	0	955	NA	NA
195	0	0	957	NA	NA
196	1040	709	962	NA	NA
197	711	707	963	NA	NA
198	986	1011	964	NA	NA
199	202	206	965	989	993
200	1064	204	966	NA	991
201	185	194	987	928	955
